id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
284818,"Caylus 1303",2019,985,6.63771,7.42655,3333,0,,,,,,535,,
117915,Yedo,2012,986,6.63582,7.33833,3876,0,,,,,,554,,
177590,"13 Days: The Cuban Missile Crisis, 1962",2016,987,6.63518,7.20371,4590,0,,,,,,578,,165
26990,Container,2007,988,6.635,7.16219,4885,0,,,,,,566,,
248065,"Zombicide: Invader",2019,989,6.63475,7.76828,2785,0,,,,,,,155,
281549,Beast,2023,990,6.63418,7.49955,3497,0,,,,,,575,202,
37380,"Roll Through the Ages: The Bronze Age",2008,991,6.63381,6.84893,12220,0,,,,296,,637,,
411567,"The Gang",2024,992,6.63305,7.5768,2718,0,,,,218,,,,
904,"Nightmare Productions",2000,993,6.63297,7.06428,5864,0,,,,266,,589,,
119788,Hyperborea,2014,994,6.63285,7.16614,5039,0,,,,,,576,,
12902,"Carcassonne: The City",2004,995,6.63028,7.2067,4523,0,,,,261,,595,,
53953,Thunderstone,2009,996,6.62978,6.90654,10631,0,,,,,,646,269,
155362,"Ca$h 'n Guns: Second Edition",2014,997,6.62954,6.81788,15931,0,,,,,70,,,
329465,"Red Rising",2021,998,6.62721,6.98248,8640,0,,,,,,648,,
195137,"Catacombs (Third Edition)",2015,999,6.62673,7.46827,3099,0,,,,,,,175,
1041,"San Marco",2001,1000,6.62502,7.17488,4610,0,,,,,,572,,
